language,word,model_prediction,gold_annotator1,gold_annotator2,sentence,adjudicated_gold,adjudication_note
aze,bəzəyir,bəzə + yir,bəzə + yir,bəzə + y + ir,Fasadın mərkəzini Bakı şəhərinin gerbi bəzəyir.,bəzə + y + ir,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
aze,etməyi,et + məyi,et + mə + yi,et + mək + i,"İkinci dünya müharibəsi Azərbaycandan uzaq şimali-qərb regionlarında başlansa da, Adolf Hitler neftlə zəngin olan Bakını zəbt etməyi özünün əsas məqsədlərindən biri hesab edirdi.",,"MANUAL: same depth (3), different analysis"
aze,yerləşir,yerləş + ir,yerləşir,yer + ləş + ir,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,yer + ləş + ir,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
aze,verdiyi,ver + diyi,ver + di + yi,ver + di + y + i,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",ver + di + y + i,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
aze,mənbəyə,mənbə + yə,mənbə + yə,mənbə + y + ə,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",mənbə + y + ə,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
aze,almışdır,al + mışdır,almışdır,al + mış + dır,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,al + mış + dır,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
aze,Cənubi,Cənub + i,cənubi,cənub + i,Bu dövrdə Cənubi Azərbaycandan da on minlərlə azərbaycanlı Bakıya miqrasiya etmişdi.,cənub + i,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
aze,hərbistrateji,hərbistratej + i,hərbi + strateji,hərb + i + strateji,"XVII–XIX əsrlər Bakının zəngin təbii sərvətləri, habelə mühüm hərbi-strateji əhəmiyyəti XVIII əsrin əvvəllərindən etibarən Rusiyanın diqqətini cəlb edirdi.",hərb + i + strateji,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
aze,üçüncü,üçünc + ü,üç + ün + cü,üç + üncü,14 aprel 1967-ci ildə Bakı şəhərinin üçüncü gerbi qəbul edilmişdir.,üç + ün + cü,"AUTO: chose more-segmented (annotator1, 3 vs 2)"
aze,onların,on + ların,on + lar + ın,o + n + lar + ın,"Dövlət Statistika Komitəsinin 2014-cü ildə yaydığı məlumata əsasən, Azərbaycanda 30 beşulduzlu otel var və onların əksəriyyəti Bakıda yerləşir.",o + n + lar + ın,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
aze,həlledici,həlledic + i,həlledici,həll + et + ici,"Müharibənin həlledici mərhələsi olan 1942-ci ildə Xəzər dənizi ilə cəbhəyə 505 min ton, Həştərxan vasitəsilə 336 min ton neft məhsulları daşınmışdır.",həll + et + ici,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
aze,yarımadasında,yarımada + sında,yarımada + sı + n + da,yarım + ada + sı + n + da,Bakı şəhərində və Abşeron yarımadasında insanlar çox qədim zamanlardan məskunlaşmış və burada yaşayış məntəqələri yaratmışlar.,yarım + ada + sı + n + da,"AUTO: chose more-segmented (annotator2, 5 vs 4)"
tur,İstanbul,İstanbul,İstanbul,istanbul,"Bugün İstanbul, eski Konstantinopolis'in metropol hâli olarak kabul edilebilir.",,"MANUAL: same depth (1), different analysis"
tur,İstanbul'un,İstanbul + 'un,İstanbul + un,istanbul + un,"İstanbul'un yazları sıcak ve nemli; kışları soğuk, yağışlı ve bazen karlıdır.",,"MANUAL: same depth (2), different analysis"
tur,sıcaklığı,sıcaklık + ı,sıcak + lış + ı,sıcak + lık + ı,"İstanbul'da yılın ortalama sıcaklığı 13,7 derecedir.",,"MANUAL: same depth (3), different analysis"
tur,başıboş,başıboş,başıboş,baş + ı + boş,Ayrıca kent içinde yaygın olarak başıboş sokak kedileri ve köpekleriyle karşılaşılabilir.,baş + ı + boş,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
tur,metrelik,metrelik,metr + e + lik,metre + lik,"Şehirdeki en yüksek üç nokta sırasıyla 537 metrelik Aydos Tepesi, 438 metrelik Kayış Dağı, 442 metrelik Alemdağ'dır.",metr + e + lik,"AUTO: chose more-segmented (annotator1, 3 vs 2)"
tur,ilçesindeki,ilçe + sindeki,ilçe + sin + deki,ilçe + si + n + deki,Kadıköy ilçesindeki Bağdat Caddesi genişliği ve uzunluğuyla birçok alışveriş merkezi ve restoranı barındırmaktadır.,ilçe + si + n + deki,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
tur,uzunluğuyla,uzunluk + uyla,uzun + luı + u + y + la,uzun + luk + u + y + la,Kadıköy ilçesindeki Bağdat Caddesi genişliği ve uzunluğuyla birçok alışveriş merkezi ve restoranı barındırmaktadır.,uzun + luk + u + y + la,"AUTO: typo in annotator1, chose annotator2"
tur,silüetini,silüet + ini,silüet + in + i,silüet + i + n + i,Kentin silüetini bozan ve halkın denizle olan bağını koparan projeler özellikle Ataköy ve Zeytinburnu'nda mahkeme kararlarına rağmen yapılmışlardır.,silüet + i + n + i,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
tur,bağını,bağ + ın + ı,bağ + ın + ı,bağ + ı + n + ı,Kentin silüetini bozan ve halkın denizle olan bağını koparan projeler özellikle Ataköy ve Zeytinburnu'nda mahkeme kararlarına rağmen yapılmışlardır.,bağ + ı + n + ı,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
tur,yapılmışlardır,yapıl + mışlardır,yap +ıl + mış + lar + dır,yap + ?l + mış + lar + dır,Kentin silüetini bozan ve halkın denizle olan bağını koparan projeler özellikle Ataköy ve Zeytinburnu'nda mahkeme kararlarına rağmen yapılmışlardır.,yap + ıl + mış + lar + dır,"AUTO: typo in annotator2, chose annotator1"
tur,mezhebi,mezheb + i,mezheb + i,mezhep + i,"Bunların yanı sıra, Müslümanların en kalabalık mezhep formunu Sünniler, bu mezhebi takiben de Aleviler nüfusça fazladır.",,"MANUAL: same depth (2), different analysis"
hun,számos,számos,szám + os,számos,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",szám + os,"AUTO: chose more-segmented (annotator1, 2 vs 1)"
hun,városrészre,városrész + re,városrész + re,város + rész + re,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",város + rész + re,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,tagolódik,tagolódik,tagolód + ik,tagol + ód + ik,"kerületben viszont az egykori települések (Pestszentlőrinc, Pestszentimre és Csepel) területe számos városrészre tagolódik.",tagol + ód + ik,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,városeszményhez,városeszmény + hez,városeszmény + hez,város + eszmény + hez,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",város + eszmény + hez,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,igazították,igazít + ották,igaz + ít + ot + ták,igazít + ot + ták,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",igaz + ít + ot + ták,"AUTO: chose more-segmented (annotator1, 4 vs 3)"
hun,fürdők,fürdő + k,fürd + ő + k,fürdő + k,"A város arculatát a keleti városeszményhez igazították, fürdők, bazárok, dzsámik épültek.",fürd + ő + k,"AUTO: chose more-segmented (annotator1, 3 vs 2)"
hun,egyéni,egyéni,egyéni,egyén + i,"(A legnagyobbnak, Pest megyének 12 egyéni képviselője van).",egyén + i,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,barátpapagáj,barátpapagáj,barátpapagáj,barát + papagáj,"rendszeresen kerülnek ki a szabadba papagájok, és megfigyelték már, hogy fészket is rakott egy barátpapagáj (Myiopsitta monachus) pár.",barát + papagáj,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,során,sorá + n,sor + á + n,során,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",sor + á + n,"AUTO: chose more-segmented (annotator1, 3 vs 1)"
hun,vesztette,veszt + ette,veszte + tt + e,veszt + ett + e,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",,"MANUAL: same depth (3), different analysis"
hun,világviszonylatban,világviszonylat + ban,világviszonylat + ban,világ + viszonylat + ban,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",világ + viszonylat + ban,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,kimagasló,kimagasl + ó,ki + magas + ló,kimagasló,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",ki + magas + ló,"AUTO: chose more-segmented (annotator1, 3 vs 1)"
hun,világörökségi,világörökségi,világörökség + i,világ + örökség + i,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",világ + örökség + i,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,Margitsziget,Margitsziget,margitsziget,margit + sziget,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,margit + sziget,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,termálvizes,termálvizes,termálviz + es,termál + viz + es,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",termál + viz + es,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,barlangrendszere,barlangrendszer + e,barlangrendszer + e,barlang + rendszer + e,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",barlang + rendszer + e,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,Országház,Országház,országház,ország + ház,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",ország + ház,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,népességszáma,népességszám + a,népességszám + a,népesség + szám + a,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",népesség + szám + a,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,PestBuda,PestBuda,PestBuda,Pest + Buda,"A gyakoribb forma a nagyobb (és nemzeti szempontból jelentősebb) város nevét előre helyezve Pest-Buda volt, de elvétve előfordult a magyar nyelvhez jobban illeszkedő, a mássalhangzó-torlódást elkerülő Buda-Pest alak is.",pest + buda,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,elvétve,elvét + ve,elvétve,el + vét + ve,"A gyakoribb forma a nagyobb (és nemzeti szempontból jelentősebb) város nevét előre helyezve Pest-Buda volt, de elvétve előfordult a magyar nyelvhez jobban illeszkedő, a mássalhangzó-torlódást elkerülő Buda-Pest alak is.",el + vét + ve,"AUTO: chose more-segmented (annotator2, 3 vs 1)"
hun,mássalhangzótorlódást,mássalhangzótorlódás + t,mássalhangzótorlód + ás + t,mással + hangzó + torlód + ás + t,"A gyakoribb forma a nagyobb (és nemzeti szempontból jelentősebb) város nevét előre helyezve Pest-Buda volt, de elvétve előfordult a magyar nyelvhez jobban illeszkedő, a mássalhangzó-torlódást elkerülő Buda-Pest alak is.",mással + hangzó + torlód + ás + t,"AUTO: chose more-segmented (annotator2, 5 vs 3)"
hun,elkerülő,elkerül + ő,elkerül + ő,el + kerül + ő,"A gyakoribb forma a nagyobb (és nemzeti szempontból jelentősebb) város nevét előre helyezve Pest-Buda volt, de elvétve előfordult a magyar nyelvhez jobban illeszkedő, a mássalhangzó-torlódást elkerülő Buda-Pest alak is.",el + kerül + ő,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,BudaPest,BudaPest,BudaPest,Buda + Pest,"A gyakoribb forma a nagyobb (és nemzeti szempontból jelentősebb) város nevét előre helyezve Pest-Buda volt, de elvétve előfordult a magyar nyelvhez jobban illeszkedő, a mássalhangzó-torlódást elkerülő Buda-Pest alak is.",buda + pest,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,Ezáltal,Ezál + tal,Ezáltal,Ez + által,"Ezáltal Budapest helyzete különbözik a megyei jogú városokétól is, melyek a megyék területéhez tartoznak és önkormányzati feladataik ellátása során együttműködésre kötelezettek azokkal.",ez + által,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,különbözik,különbözik,különböz + ik,különb + öz + ik,"Ezáltal Budapest helyzete különbözik a megyei jogú városokétól is, melyek a megyék területéhez tartoznak és önkormányzati feladataik ellátása során együttműködésre kötelezettek azokkal.",különb + öz + ik,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,korszak,korszak,korszak,kor + szak,A korszak jelképeként megépült a két várost összekötő Széchenyi lánchíd.,kor + szak,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,jelképeként,jelképe + ként,jelkép + e + ként,jel + kép + e + ként,A korszak jelképeként megépült a két várost összekötő Széchenyi lánchíd.,jel + kép + e + ként,"AUTO: chose more-segmented (annotator2, 4 vs 3)"
hun,megépült,megépül + t,megépül + t,meg + épül + t,A korszak jelképeként megépült a két várost összekötő Széchenyi lánchíd.,meg + épül + t,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,összekötő,összeköt + ő,összeköt + ő,össze + köt + ő,A korszak jelképeként megépült a két várost összekötő Széchenyi lánchíd.,össze + köt + ő,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
hun,lánchíd,lánchíd,lánchíd,lánc + híd,A korszak jelképeként megépült a két várost összekötő Széchenyi lánchíd.,lánc + híd,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,délnémet,délném + et,délnémet,dél + német,"Hasonló eredetű Buda német neve, Ofen is (magyarul: „kemence”), amely délnémet nyelvjárásban a szláv pest szóhoz hasonlóan barlangot, üreget is jelent.",dél + német,"AUTO: chose more-segmented (annotator2, 2 vs 1)"
hun,nyelvjárásban,nyelvjárás + ban,nyelvjárás + ban,nyelv + járás + ban,"Hasonló eredetű Buda német neve, Ofen is (magyarul: „kemence”), amely délnémet nyelvjárásban a szláv pest szóhoz hasonlóan barlangot, üreget is jelent.",nyelv + járás + ban,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
fin,kasvoi,kasvo + i,kasvo + i,kasva + i,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",,"MANUAL: same depth (2), different analysis"
fin,Näistä,Nä + istä,tämä + i + stä,nämä + i + stä,Näistä varsinaisia ulkomaan kansalaisia on 73 076 asukasta.,,"MANUAL: same depth (3), different analysis"
fin,Kuntavaalitulokset,Kuntavaalitulo + kset,kunta + vaali + tulo + kset,kunta + vaali + tulos + kset,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,,"MANUAL: same depth (4), different analysis"
fin,väärinkäytökset,väärin + käytökset,väärin + käytö + kset,väärin + käytös + kset,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,,"MANUAL: same depth (3), different analysis"
fin,rakenteellisen,rakenteelli + sen,rakenne + llise + n,rakenta + minen + een,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,,"MANUAL: same depth (3), different analysis"
fin,rakentamisessa,rakentami + sessa,rakentaminen + ssa,rakenta + minen+ ssa,Helsingin metron rakentamisessa vältettiin kansainvälistä kilpailua.,rakenta + minen + ssa,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
fin,Katajanokka,Katajanokka,kataja + nokka,kataja + n + nokka,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",kataja + n + nokka,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
fin,haltuunsa,haltuun + sa,haltuun + sa,haltu + un + sa,"Punakaarti otti kaupungin haltuunsa, ja senaatti joutui lähtemään evakkoon Vaasaan.",haltu + un + sa,"AUTO: chose more-segmented (annotator2, 3 vs 2)"
fin,viranomaisten,viran + omaisten,viran + oma + is + ten,virka + n + oma + is + ten,"Neuvontapalveluita saa asumiseen, työnhakuun, työsuojeluun, verotukseen, opiskeluun, perheasioihin, vapaa-aikaan sekä viranomaisten kanssa toimimiseen.",virka + n + oma + is + ten,"AUTO: chose more-segmented (annotator2, 5 vs 4)"
